cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-1275,2024,2,0.0,
CWE-1275,2025,4,0.01,100.0
CWE-1275,2026,3,0.0,-25.0
CWE-1277,2026,1,0.0,
CWE-1278,2021,1,0.0,
CWE-128,2026,2,0.0,
CWE-1280,2026,2,0.0,
CWE-1281,2024,1,0.0,
CWE-1281,2025,3,0.01,200.0
CWE-1281,2026,1,0.0,-66.7
CWE-1282,2023,1,0.0,
CWE-1282,2026,6,0.01,500.0
CWE-1283,2024,1,0.0,
CWE-1284,2008,2,0.04,
CWE-1284,2010,1,0.02,-50.0
CWE-1284,2021,16,0.07,1500.0
CWE-1284,2022,70,0.26,337.5
CWE-1284,2023,19,0.06,-72.9
CWE-1284,2024,36,0.09,89.5
CWE-1284,2025,56,0.11,55.6
CWE-1284,2026,122,0.18,117.9
CWE-1285,2023,1,0.0,
CWE-1285,2024,3,0.01,200.0
CWE-1285,2025,9,0.02,200.0
CWE-1285,2026,12,0.02,33.3
CWE-1286,2020,1,0.01,
CWE-1286,2023,1,0.0,0.0
CWE-1286,2024,8,0.02,700.0
CWE-1286,2025,19,0.04,137.5
CWE-1286,2026,25,0.04,31.6
CWE-1287,2024,13,0.03,
CWE-1287,2025,57,0.11,338.5
CWE-1287,2026,30,0.05,-47.4
CWE-1288,2023,2,0.01,
CWE-1288,2024,2,0.0,0.0
CWE-1288,2025,3,0.01,50.0
CWE-1288,2026,9,0.01,200.0
CWE-1289,2024,2,0.0,
CWE-1289,2026,13,0.02,550.0
CWE-129,2003,1,0.06,
CWE-129,2005,1,0.02,0.0
CWE-129,2007,1,0.02,0.0
CWE-129,2009,1,0.02,0.0
CWE-129,2010,1,0.02,0.0
CWE-129,2011,1,0.02,0.0
CWE-129,2014,1,0.01,0.0
CWE-129,2016,3,0.05,200.0
CWE-129,2017,20,0.11,566.7
CWE-129,2018,32,0.18,60.0
CWE-129,2019,38,0.2,18.8
CWE-129,2020,46,0.24,21.1
CWE-129,2021,36,0.16,-21.7
CWE-129,2022,27,0.1,-25.0
CWE-129,2023,36,0.12,33.3
CWE-129,2024,128,0.31,255.6
CWE-129,2025,76,0.15,-40.6
CWE-129,2026,96,0.14,26.3
CWE-1294,2026,1,0.0,
CWE-1295,2024,4,0.01,
CWE-1295,2025,6,0.01,50.0
CWE-1295,2026,2,0.0,-66.7
CWE-1298,2024,1,0.0,
CWE-1298,2026,1,0.0,0.0
CWE-1299,2024,1,0.0,
CWE-1299,2025,2,0.0,100.0
CWE-1299,2026,1,0.0,-50.0
CWE-130,2020,1,0.01,
CWE-130,2022,2,0.01,100.0
CWE-130,2023,1,0.0,-50.0
CWE-130,2024,7,0.02,600.0
CWE-130,2025,12,0.02,71.4
CWE-130,2026,29,0.04,141.7
CWE-1300,2025,3,0.01,
CWE-1300,2026,31,0.05,933.3
CWE-1301,2025,1,0.0,
CWE-1301,2026,1,0.0,0.0
CWE-1303,2024,1,0.0,
CWE-1304,2024,1,0.0,
CWE-1304,2026,1,0.0,0.0
CWE-131,2001,3,0.18,
CWE-131,2002,2,0.09,-33.3
CWE-131,2003,1,0.06,-50.0
CWE-131,2004,3,0.12,200.0
CWE-131,2005,4,0.08,33.3
CWE-131,2008,1,0.02,-75.0
CWE-131,2014,1,0.01,0.0
CWE-131,2017,3,0.02,200.0
CWE-131,2018,3,0.02,0.0
CWE-131,2019,4,0.02,33.3
CWE-131,2020,10,0.05,150.0
CWE-131,2021,14,0.06,40.0
CWE-131,2022,19,0.07,35.7
CWE-131,2023,11,0.04,-42.1
CWE-131,2024,21,0.05,90.9
CWE-131,2025,15,0.03,-28.6
CWE-131,2026,34,0.05,126.7
CWE-1310,2025,1,0.0,
CWE-1310,2026,1,0.0,0.0
CWE-1312,2026,1,0.0,
CWE-1313,2026,1,0.0,
CWE-1314,2026,1,0.0,
CWE-1316,2026,1,0.0,
CWE-1319,2025,1,0.0,
CWE-1320,2023,3,0.01,
CWE-1321,2018,3,0.02,
CWE-1321,2019,11,0.06,266.7
CWE-1321,2020,66,0.34,500.0
CWE-1321,2021,64,0.29,-3.0
CWE-1321,2022,95,0.36,48.4
CWE-1321,2023,35,0.11,-63.2
CWE-1321,2024,63,0.15,80.0
CWE-1321,2025,71,0.14,12.7
CWE-1321,2026,112,0.17,57.7
CWE-1322,2026,1,0.0,
CWE-1323,2025,2,0.0,
CWE-1325,2024,2,0.0,
CWE-1325,2025,2,0.0,0.0
CWE-1325,2026,11,0.02,450.0
CWE-1326,2024,2,0.0,
CWE-1326,2025,4,0.01,100.0
CWE-1327,2024,3,0.01,
CWE-1327,2025,3,0.01,0.0
CWE-1327,2026,8,0.01,166.7
CWE-1328,2025,4,0.01,
CWE-1328,2026,1,0.0,-75.0
CWE-1329,2026,4,0.01,
CWE-1330,2026,1,0.0,
CWE-1332,2025,1,0.0,
CWE-1333,2017,2,0.01,
CWE-1333,2018,1,0.01,-50.0
CWE-1333,2019,2,0.01,100.0
