source,target,weight,source_x,source_y,target_x,target_y
CWE-22,CWE-358,38.0,-0.001189596951007843,0.03682870417833328,0.07049589604139328,0.07774179428815842
CWE-22,CWE-547,3.0,-0.001189596951007843,0.03682870417833328,-0.28799548745155334,0.13637790083885193
CWE-22,CWE-158,25.0,-0.001189596951007843,0.03682870417833328,-0.11965882033109665,-0.008243951946496964
CWE-22,CWE-178,25.0,-0.001189596951007843,0.03682870417833328,-0.12951764464378357,-0.07161202281713486
CWE-22,CWE-1258,3.0,-0.001189596951007843,0.03682870417833328,-0.29722413420677185,0.09310031682252884
CWE-22,CWE-114,5.0,-0.001189596951007843,0.03682870417833328,-0.23912493884563446,0.013842671178281307
CWE-22,CWE-926,3.0,-0.001189596951007843,0.03682870417833328,0.05116410553455353,0.28270071744918823
CWE-22,CWE-1357,2.0,-0.001189596951007843,0.03682870417833328,-0.4372708797454834,0.17783793807029724
CWE-22,CWE-676,2.0,-0.001189596951007843,0.03682870417833328,-0.30344894528388977,0.21493658423423767
CWE-22,CWE-434,573.0,-0.001189596951007843,0.03682870417833328,-0.010650712065398693,0.05606949329376221
CWE-22,CWE-117,13.0,-0.001189596951007843,0.03682870417833328,-0.16495096683502197,-0.08664260059595108
CWE-22,CWE-915,14.0,-0.001189596951007843,0.03682870417833328,-0.02684653177857399,0.16777528822422028
CWE-22,CWE-1327,2.0,-0.001189596951007843,0.03682870417833328,-0.3240339457988739,0.3535534143447876
CWE-22,CWE-625,3.0,-0.001189596951007843,0.03682870417833328,0.27133142948150635,0.26048076152801514
CWE-22,CWE-1385,5.0,-0.001189596951007843,0.03682870417833328,-0.15502016246318817,0.23960448801517487
CWE-22,CWE-69,1.0,-0.001189596951007843,0.03682870417833328,-0.42329591512680054,0.2414698451757431
CWE-22,CWE-409,22.0,-0.001189596951007843,0.03682870417833328,0.12855610251426697,0.03906502574682236
CWE-22,CWE-544,3.0,-0.001189596951007843,0.03682870417833328,-0.2997477352619171,-0.11525014787912369
CWE-22,CWE-613,151.0,-0.001189596951007843,0.03682870417833328,-0.022825172170996666,0.05865822732448578
CWE-22,CWE-26,2.0,-0.001189596951007843,0.03682870417833328,0.20362332463264465,-0.2450425773859024
CWE-22,CWE-378,3.0,-0.001189596951007843,0.03682870417833328,-0.03357866406440735,0.3114500343799591
CWE-22,CWE-177,5.0,-0.001189596951007843,0.03682870417833328,-0.25629541277885437,-0.026215635240077972
CWE-22,CWE-502,320.0,-0.001189596951007843,0.03682870417833328,0.017515264451503754,0.04160669445991516
CWE-22,CWE-1242,3.0,-0.001189596951007843,0.03682870417833328,0.34153956174850464,0.08675605058670044
CWE-22,CWE-180,6.0,-0.001189596951007843,0.03682870417833328,-0.2998700737953186,-0.07401283085346222
CWE-22,CWE-286,5.0,-0.001189596951007843,0.03682870417833328,-0.19560208916664124,0.21474221348762512
CWE-22,CWE-300,11.0,-0.001189596951007843,0.03682870417833328,0.15627416968345642,0.1169418916106224
